VAR,Variable,UNIT,Measure,Country,Year,Value,Percentage of graduates contributed by country
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Japan,2019,12045,18.96
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Japan,2019,65920,10.41
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Japan,2019,58185,12.84
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Japan,2019,7735,5.32
HEDUMEGR,Medical graduates,NOMBRENB,Number,Korea,2019,3827,2.41
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Korea,2019,749,1.87
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Korea,2019,1942,3.06
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Korea,2019,51848,8.19
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Korea,2019,21005,4.64
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Korea,2019,30843,21.2
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Luxembourg,2019,5,0.03
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Luxembourg,2019,82,0.01
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Luxembourg,2019,82,0.02
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Luxembourg,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Mexico,2019,17408,10.97
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Mexico,2019,8089,20.23
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Mexico,2019,4075,6.42
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Mexico,2019,22129,3.5
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Mexico,2019,22129,4.88
HEDUMEGR,Medical graduates,NOMBRENB,Number,Netherlands,2019,2620,1.65
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Netherlands,2019,230,0.58
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Netherlands,2019,230,0.36
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Netherlands,2019,150,0.9
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Netherlands,2019,10160,1.6
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Netherlands,2019,4290,0.95
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Netherlands,2019,5870,4.04
HEDUMEGR,Medical graduates,NOMBRENB,Number,New Zealand,2019,493,0.31
HEDUDNGR,Dentists graduates,NOMBRENB,Number,New Zealand,2019,114,0.29
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,New Zealand,2019,224,0.35
HEDUMWGR,Midwives graduates,NOMBRENB,Number,New Zealand,2019,214,1.29
HEDUNUGR,Nursing graduates,NOMBRENB,Number,New Zealand,2019,1985,0.31
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,New Zealand,2019,1822,0.4
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,New Zealand,2019,163,0.11
HEDUMEGR,Medical graduates,NOMBRENB,Number,Norway,2019,606,0.38
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Norway,2019,125,0.31
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Norway,2019,167,0.26
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Norway,2019,146,0.88
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Norway,2019,4269,0.67
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Norway,2019,4269,0.94
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Norway,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Poland,2019,4546,2.87
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Poland,2019,1010,2.53
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Poland,2019,1028,1.62
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Poland,2019,1700,10.23
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Poland,2019,13080,2.07
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Poland,2019,13080,2.89
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Poland,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Portugal,2019,1629,1.03
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Portugal,2019,769,1.92
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Portugal,2019,871,1.37
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Portugal,2019,2732,0.43
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Portugal,2019,2732,0.6
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Portugal,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Slovak Republic,2019,984,0.62
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Slovak Republic,2019,160,0.4
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Slovak Republic,2019,264,0.42
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Slovak Republic,2019,44,0.26
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Slovak Republic,2019,1194,0.19
HEDUMEGR,Medical graduates,NOMBRENB,Number,Spain,2019,6574,4.14
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Spain,2019,1565,3.91
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Spain,2019,2645,4.16
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Spain,2019,368,2.22
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Spain,2019,10250,1.62
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Spain,2019,10250,2.26
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Spain,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Sweden,2019,1385,0.87
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Sweden,2019,266,0.67
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Sweden,2019,462,0.73
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Sweden,2019,354,2.13
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Sweden,2019,4443,0.7
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Sweden,2019,4443,0.98
HEDUMEGR,Medical graduates,NOMBRENB,Number,Switzerland,2019,1017,0.64
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Switzerland,2019,133,0.33
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Switzerland,2019,228,0.36
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Switzerland,2019,173,1.04
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Switzerland,2019,9269,1.46
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Switzerland,2019,3672,0.81
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Switzerland,2019,5597,3.85
HEDUMEGR,Medical graduates,NOMBRENB,Number,Türkiye,2019,10854,6.84
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Türkiye,2019,3119,7.8
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Türkiye,2019,1759,2.77
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Türkiye,2019,2798,16.84
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Türkiye,2019,15414,2.43
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Türkiye,2019,15414,3.4
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Türkiye,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,United Kingdom,2019,8730,5.5
HEDUDNGR,Dentists graduates,NOMBRENB,Number,United Kingdom,2019,1200,3
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,United Kingdom,2019,3330,5.24
HEDUMWGR,Midwives graduates,NOMBRENB,Number,United Kingdom,2019,2750,16.55
HEDUNUGR,Nursing graduates,NOMBRENB,Number,United Kingdom,2019,29905,4.72
HEDUMEGR,Medical graduates,NOMBRENB,Number,United States,2019,26640,16.79
HEDUDNGR,Dentists graduates,NOMBRENB,Number,United States,2019,6350,15.88
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,United States,2019,14800,23.3
HEDUMWGR,Midwives graduates,NOMBRENB,Number,United States,2019,988,5.95
HEDUNUGR,Nursing graduates,NOMBRENB,Number,United States,2019,215234,33.99
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,United States,2019,168739,37.25
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,United States,2019,46495,31.96
HEDUMEGR,Medical graduates,NOMBRENB,Number,Chile,2019,1745,1.1
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Chile,2019,1598,4
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Chile,2019,472,0.74
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Chile,2019,913,5.5
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Chile,2019,5950,0.94
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Chile,2019,5950,1.31
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Chile,2019,0,0
HEDUMEGR,Medical graduates,NOMBRENB,Number,Estonia,2019,138,0.09
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Estonia,2019,29,0.07
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Estonia,2019,53,0.08
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Estonia,2019,32,0.19
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Estonia,2019,383,0.06
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Estonia,2019,383,0.08
HEDUMEGR,Medical graduates,NOMBRENB,Number,Israel,2019,654,0.41
HEDUDNGR,Dentists graduates,NOMBRENB,Number,Israel,2019,91,0.23
HEDUPHGR,Pharmacists graduates,NOMBRENB,Number,Israel,2019,116,0.18
HEDUMWGR,Midwives graduates,NOMBRENB,Number,Israel,2019,165,0.99
HEDUNUGR,Nursing graduates,NOMBRENB,Number,Israel,2019,2404,0.38
HEDUPNGR,Professional nursing graduates,NOMBRENB,Number,Israel,2019,2281,0.5
HEDUAPGR,Associate Professional nursing graduates,NOMBRENB,Number,Israel,2019,123,0.08
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Australia,2019,15.87,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Australia,2019,4.03,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Australia,2019,8.97,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Australia,2019,5.48,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Australia,2019,109,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Australia,2019,66.29,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Australia,2019,42.71,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Austria,2019,13.99,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Austria,2019,2.74,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Austria,2019,3.59,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Austria,2019,1.59,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Austria,2019,32.73,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Austria,2019,32.73,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Belgium,2019,17.58,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Belgium,2019,2.44,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Belgium,2019,4.95,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Belgium,2019,4.92,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Belgium,2019,31.06,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Canada,2019,7.6,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Canada,2019,1.47,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Canada,2019,3.34,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Canada,2019,0.4,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Czechia,2019,16.1,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Czechia,2019,2.75,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Czechia,2019,2.66,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Czechia,2019,1.6,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Czechia,2019,28.72,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Czechia,2019,13.12,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Czechia,2019,15.6,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Denmark,2019,21.22,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Denmark,2019,2.25,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Denmark,2019,3.22,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Denmark,2019,2.84,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Denmark,2019,44.11,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Denmark,2019,44.11,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Denmark,2019,0,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Finland,2019,11.9,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Finland,2019,3.4,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Finland,2019,5.31,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Finland,2019,3.93,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Finland,2019,242.09,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Finland,2019,75.16,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Finland,2019,166.93,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,France,2019,9.95,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,France,2019,2.12,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,France,2019,4.45,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,France,2019,1.28,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,France,2019,37.63,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,France,2019,37.63,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,France,2019,0,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Germany,2019,12.32,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Germany,2019,2.96,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Germany,2019,2.77,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Germany,2019,0.78,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Germany,2019,43.92,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Germany,2019,43.92,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Greece,2019,13.51,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Greece,2019,1.9,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Greece,2019,3.16,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Greece,2019,2.19,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Greece,2019,78.63,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Greece,2019,12.76,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Greece,2019,65.87,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Hungary,2019,15.76,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Hungary,2019,3.27,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Hungary,2019,3.25,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Hungary,2019,1.19,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Hungary,2019,49.99,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Hungary,2019,24.94,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Hungary,2019,25.05,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Iceland,2019,11.37,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Iceland,2019,1.94,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Iceland,2019,7.21,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Iceland,2019,2.77,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Iceland,2019,59.63,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Iceland,2019,32.45,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Iceland,2019,27.18,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Ireland,2019,24.83,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Ireland,2019,1.93,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Ireland,2019,3.45,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Ireland,2019,2.45,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Ireland,2019,28.92,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Ireland,2019,28.92,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Ireland,2019,0,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Italy,2019,17.6,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Italy,2019,1.54,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Italy,2019,8.01,
HEDUMWGR,Midwives graduates,RTOALLNB,Per 100 000 population,Italy,2019,1.1,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Italy,2019,18.42,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Italy,2019,18.42,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Italy,2019,0,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Japan,2019,7.14,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Japan,2019,1.66,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Japan,2019,9.55,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Japan,2019,52.25,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Japan,2019,46.12,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Japan,2019,6.13,
HEDUMEGR,Medical graduates,RTOALLNB,Per 100 000 population,Korea,2019,7.39,
HEDUDNGR,Dentists graduates,RTOALLNB,Per 100 000 population,Korea,2019,1.45,
HEDUPHGR,Pharmacists graduates,RTOALLNB,Per 100 000 population,Korea,2019,3.75,
HEDUNUGR,Nursing graduates,RTOALLNB,Per 100 000 population,Korea,2019,100.16,
HEDUPNGR,Professional nursing graduates,RTOALLNB,Per 100 000 population,Korea,2019,40.58,
HEDUAPGR,Associate Professional nursing graduates,RTOALLNB,Per 100 000 population,Korea,2019,59.58,
